created_at,id,id_str,full_text,truncated,display_text_range,entities,metadata,source,in_reply_to_status_id,in_reply_to_status_id_str,in_reply_to_user_id,in_reply_to_user_id_str,in_reply_to_screen_name,geo,coordinates,place,contributors,is_quote_status,retweet_count,favorite_count,favorited,retweeted,possibly_sensitive,lang,quoted_status_id,quoted_status_id_str,quoted_status,text,favorited_by,scopes,display_text_width,retweeted_status,quoted_status_permalink,quote_count,timestamp_ms,reply_count,filter_level,query,withheld_scope,withheld_copyright,withheld_in_countries,possibly_sensitive_appealable
2022-11-21T12:30:14Z,1594745012264255500,1594745012264255496,"Adidas Yeezy Boost 380 Covellite 5-13 GZ0454 Fashion Shoe
$203.50

https://t.co/dtFgV34ah6

#Adidas #Yeezy #YeezyBoost380 #Covellite #GZ0454 #Fashion #Shoe #YeezyBoost #AdidasSneaker #Yeezys #Sneakers #SneakerHeads #RareSneakers",FALSE,228,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Adidas Yeezy Boost 380 Covellite 5-13 GZ0454 Fashion Shoe
$203.50

https://t.co/dtFgV34ah6

#Adidas #Yeezy #YeezyBoost380 #Covellite #GZ0454 #Fashion #Shoe #YeezyBoost #AdidasSneaker #Yeezys #Sneakers #SneakerHeads #RareSneakers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-21T12:12:23Z,1594740519313227800,1594740519313227779,"Foam runner 

#ye #yeezy #hypebeast #hypebae #nicekicks #kotd #highsnobiety #complex #complexkicks #sc #nc @nicekicks @zsneakerheadz @complex @yeezyinfluence https://t.co/lICo2HWjd5",FALSE,181,,,"<a href=""http://instagram.com"" rel=""nofollow"">Instagram</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Foam runner 

#ye #yeezy #hypebeast #hypebae #nicekicks #kotd #highsnobiety #complex #complexkicks #sc #nc @nicekicks @zsneakerheadz @complex @yeezyinfluence https://t.co/lICo2HWjd5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-21T11:53:44Z,1594735826373857300,1594735826373857280,"https://t.co/G8azvlROek
#Christmas #Shopping #newarrivals #ViralVideo #TikTok #viralstore #yeezy @ye @elonmusk welcome to use my store for ur shoes I'm a small business but would love the opportunity. https://t.co/RWlgO8y5o6",FALSE,200,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"https://t.co/G8azvlROek
#Christmas #Shopping #newarrivals #ViralVideo #TikTok #viralstore #yeezy @ye @elonmusk welcome to use my store for ur shoes I'm a small business but would love the opportunity. https://t.co/RWlgO8y5o6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-21T11:29:22Z,1594729696159498200,1594729696159498240,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #knix #yeezy: https://t.co/EQk3KTqDPM https://t.co/1SCiRc2Rqk,FALSE,152,,,"<a href=""http://poshmark.com/"" rel=""nofollow"">Poshmark</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,So good I had to share! Check out all the items I'm loving on @Poshmarkapp #poshmark #fashion #style #shopmycloset #knix #yeezy: https://t.co/EQk3KTqDPM https://t.co/1SCiRc2Rqk,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-21T11:29:12Z,1594729652068794400,1594729652068794372,"Authenticity GuaranteeAdidas Yeezy Boost 700 Mauve Kanye West (EE9614) Men's Size 5.5-11.5
$350.00

https://t.co/ZNHMb4Ibmp

#Authentic #Adidas #YeezyBoost #Mauve #KanyeWest #Sneaker #Sneakerhead #SneakerAddict #RareSneakers #Yeezy",FALSE,231,,,"<a href=""https://ifttt.com"" rel=""nofollow"">IFTTT</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,"Authenticity GuaranteeAdidas Yeezy Boost 700 Mauve Kanye West (EE9614) Men's Size 5.5-11.5
$350.00

https://t.co/ZNHMb4Ibmp

#Authentic #Adidas #YeezyBoost #Mauve #KanyeWest #Sneaker #Sneakerhead #SneakerAddict #RareSneakers #Yeezy",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-21T11:14:59Z,1594726074436538400,1594726074436538368,"I hate the media. These people are trying real hard to cancel #chappelle,  #KyrieIrving, and even #yeezy for years, but let shows like #SouthPark where 4 little white kids from Colorado has attacked every damn thing from racism to gays and not canceled yet?Kiss my brown ass.",FALSE,275,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,NA,en,NA,NA,,"I hate the media. These people are trying real hard to cancel #chappelle,  #KyrieIrving, and even #yeezy for years, but let shows like #SouthPark where 4 little white kids from Colorado has attacked every damn thing from racism to gays and not canceled yet?Kiss my brown ass.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-21T11:04:36Z,1594723463389913e3,1594723463389913089,Genius at work? @ye @kanyewest #ye #yeezy #yeezus #genius #design..https://t.co/1IbnpPZg7N,FALSE,90,,,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,Genius at work? @ye @kanyewest #ye #yeezy #yeezus #genius #design..https://t.co/1IbnpPZg7N,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-21T10:44:29Z,1594718401099882500,1594718401099882497,"Shai wearing :
.
.
. @yeezymafia × @gap Dove Hoodie ($240)
.
. @balenciaga Distressed High Rise Jeans ($1150) 
.
. @louisvuitton × @nike Air Force 1 Gold Sneakers ($15500)
.
.
#shai #yeezy #yeezygap #gap #gaphoodie #balenciaga #balenciagajeans #louisvuitton #nike https://t.co/BUtGHDnWv0",FALSE,263,,,"<a href=""https://mobile.twitter.com"" rel=""nofollow"">Twitter Web App</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,2,FALSE,FALSE,FALSE,en,NA,NA,,"Shai wearing :
.
.
. @yeezymafia × @gap Dove Hoodie ($240)
.
. @balenciaga Distressed High Rise Jeans ($1150) 
.
. @louisvuitton × @nike Air Force 1 Gold Sneakers ($15500)
.
.
#shai #yeezy #yeezygap #gap #gaphoodie #balenciaga #balenciagajeans #louisvuitton #nike https://t.co/BUtGHDnWv0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-21T10:44:14Z,1594718335807426600,1594718335807426560,Adidas Angel &amp; i’m team #YEEZY https://t.co/m0gXpDeYt6,FALSE,34,,,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,0,0,FALSE,FALSE,FALSE,en,NA,NA,,Adidas Angel &amp; i’m team #YEEZY https://t.co/m0gXpDeYt6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2022-11-21T10:44:07Z,1594718308603158500,1594718308603158529,"In a new video shared on Instagram, Kanye West announced that he’ll be selling archive hoodies from Yeezy, Balenciaga, Gap, and adidas for just $20 USD. 
 
Any Thoughts??? 
 
#KanyeWest #Balenciaga #Yeezy #Gap #Adidas #Lovelytitv https://t.co/Z6VGsi0BZu",FALSE,229,,,"<a href=""https://about.twitter.com/products/tweetdeck"" rel=""nofollow"">TweetDeck</a>",NA,NA,NA,NA,NA,,,,NA,FALSE,7,42,FALSE,FALSE,FALSE,en,NA,NA,,"In a new video shared on Instagram, Kanye West announced that he’ll be selling archive hoodies from Yeezy, Balenciaga, Gap, and adidas for just $20 USD. 
 
Any Thoughts??? 
 
#KanyeWest #Balenciaga #Yeezy #Gap #Adidas #Lovelytitv https://t.co/Z6VGsi0BZu",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
